Unnamed: 0_level_0 Unnamed: 0_level_1 Coach,Unnamed: 1_level_0 Unnamed: 1_level_1 Tm,Seasons w/ Franch #,Seasons Overall #,Regular Season Current Season G,Regular Season Current Season W,Regular Season Current Season L,Regular Season w/ Franchise G,Regular Season w/ Franchise W,Regular Season w/ Franchise L,Regular Season Career G,Regular Season Career W,Regular Season Career L,Regular Season Career W%,Playoffs Current Season G,Playoffs Current Season W,Playoffs Current Season L,Playoffs w/ Franchise G,Playoffs w/ Franchise W,Playoffs w/ Franchise L,Playoffs Career G,Playoffs Career W,Playoffs Career L,Year
Mike Budenholzer,ATL,1,1,82,38,44,82,38,44,82,38,44,0.463,7.0,3.0,4.0,7.0,3.0,4.0,7.0,3.0,4.0,2014
Brad Stevens,BOS,1,1,82,25,57,82,25,57,82,25,57,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014
Jason Kidd,BRK,1,1,82,44,38,82,44,38,82,44,38,0.537,12.0,5.0,7.0,12.0,5.0,7.0,12.0,5.0,7.0,2014
Steve Clifford,CHA,1,1,82,43,39,82,43,39,82,43,39,0.524,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,2014
Tom Thibodeau,CHI,4,4,82,48,34,312,205,107,312,205,107,0.657,5.0,1.0,4.0,39.0,17.0,22.0,39.0,17.0,22.0,2014
Mike Brown,CLE,6,8,82,33,49,492,305,187,563,347,216,0.616,0.0,0.0,0.0,71.0,42.0,29.0,83.0,47.0,36.0,2014
Rick Carlisle,DAL,6,12,82,49,33,476,288,188,968,569,399,0.588,7.0,3.0,4.0,48.0,26.0,22.0,110.0,56.0,54.0,2014
Brian Shaw,DEN,1,1,82,36,46,82,36,46,82,36,46,0.439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014
Maurice Cheeks,DET,1,9,50,21,29,50,21,29,620,305,315,0.492,0.0,0.0,0.0,0.0,0.0,0.0,16.0,5.0,11.0,2014
John Loyer,DET,1,1,32,8,24,32,8,24,32,8,24,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014
Mark Jackson,GSW,3,3,82,51,31,230,121,109,230,121,109,0.526,7.0,3.0,4.0,19.0,9.0,10.0,19.0,9.0,10.0,2014
Kevin McHale,HOU,3,5,82,54,28,230,133,97,324,172,152,0.531,6.0,2.0,4.0,12.0,4.0,8.0,12.0,4.0,8.0,2014
Frank Vogel,IND,4,4,82,56,26,267,167,100,267,167,100,0.625,19.0,10.0,9.0,54.0,28.0,26.0,54.0,28.0,26.0,2014
Doc Rivers,LAC,1,15,82,57,25,82,57,25,1142,644,498,0.564,13.0,6.0,7.0,13.0,6.0,7.0,134.0,70.0,64.0,2014
Mike D'Antoni,LAL,2,12,82,27,55,154,67,87,881,455,426,0.516,0.0,0.0,0.0,4.0,0.0,4.0,59.0,26.0,33.0,2014
Dave Joerger,MEM,1,1,82,50,32,82,50,32,82,50,32,0.61,7.0,3.0,4.0,7.0,3.0,4.0,7.0,3.0,4.0,2014
Erik Spoelstra,MIA,6,6,82,54,28,476,314,162,476,314,162,0.66,20.0,13.0,7.0,99.0,63.0,36.0,99.0,63.0,36.0,2014
Larry Drew,MIL,1,4,82,15,67,82,15,67,312,143,169,0.458,0.0,0.0,0.0,0.0,0.0,0.0,24.0,10.0,14.0,2014
Rick Adelman,MIN,3,23,82,40,42,230,97,133,1791,1042,749,0.582,0.0,0.0,0.0,0.0,0.0,0.0,157.0,79.0,78.0,2014
Monty Williams,NOP,4,4,82,34,48,312,128,184,312,128,184,0.41,0.0,0.0,0.0,6.0,2.0,4.0,6.0,2.0,4.0,2014
Mike Woodson,NYK,3,9,82,37,45,188,109,79,680,315,365,0.463,0.0,0.0,0.0,17.0,7.0,10.0,46.0,18.0,28.0,2014
Scott Brooks,OKC,6,6,82,59,23,463,293,170,463,293,170,0.633,19.0,10.0,9.0,73.0,39.0,34.0,73.0,39.0,34.0,2014
Jacque Vaughn,ORL,2,2,82,23,59,164,43,121,164,43,121,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014
Brett Brown,PHI,1,1,82,19,63,82,19,63,82,19,63,0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014
Jeff Hornacek,PHO,1,1,82,48,34,82,48,34,82,48,34,0.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014
Terry Stotts,POR,2,6,82,54,28,164,87,77,447,202,245,0.452,11.0,5.0,6.0,11.0,5.0,6.0,16.0,6.0,10.0,2014
Michael Malone,SAC,1,1,82,28,54,82,28,54,82,28,54,0.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014
Gregg Popovich,SAS,18,18,82,62,20,1410,967,443,1410,967,443,0.686,23.0,16.0,7.0,239.0,149.0,90.0,239.0,149.0,90.0,2014
Dwane Casey,TOR,3,5,82,48,34,230,105,125,352,158,194,0.449,7.0,3.0,4.0,7.0,3.0,4.0,7.0,3.0,4.0,2014
Tyrone Corbin,UTA,4,4,82,25,57,258,112,146,258,112,146,0.434,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0,2014
Randy Wittman,WAS,3,8,82,44,38,213,91,122,520,191,329,0.367,11.0,6.0,5.0,11.0,6.0,5.0,11.0,6.0,5.0,2014
